coin,horizon,seed,sharpe_har,sharpe_lstm,sharpe_bh,delta_sharpe_lstm_vs_har,lw_se,t_stat,mse_har,mse_lstm,mse_reduction_pct,loss_fn,n_obs,lstm_preds,har_preds,dm_stat,dm_pvalue,mean_loss_diff,dm_verdict
ADA-USD,5,1,-1.7875678411718585,-1.7573269047856062,-1.0392396124154162,0.03024093638625236,0.007847528016467242,3.8535620800326957,0.31758288291151204,0.3699886127552816,16.50143400781816,mse,575,575,575,1.810896100565048,0.07067959614962005,0.05240572984376954,INCONCLUSIVE
ADA-USD,5,7,-1.7875678411718585,-1.7494300317882354,-1.0392396124154162,0.0381378093836231,0.005536071622781485,6.8889660362561465,0.31758288291151204,0.3505673197850822,10.386087742254233,mse,575,575,575,1.2697092698670018,0.20470272051820926,0.03298443687357015,INCONCLUSIVE
ADA-USD,5,42,-1.7875678411718585,-1.7610073241631545,-1.0392396124154162,0.026560517008703988,0.005586829351763176,4.754130712856232,0.31758288291151204,0.345395630845868,8.757634441559436,mse,575,575,575,1.3154434095458445,0.18888611682215894,0.02781274793435592,INCONCLUSIVE
ADA-USD,10,0,-1.2372286206488667,-1.2948798312125873,-1.2392392581305216,-0.05765121056372058,0.011175951797451645,-5.15850565648165,0.2520989125744379,0.2749394552130577,9.060151194375186,mse,550,550,550,0.932082899646058,0.3517033971168049,0.022840542638619763,INCONCLUSIVE
ADA-USD,10,1,-1.2372286206488667,-1.2221339838699943,-1.2392392581305216,0.015094636778872461,0.013376437097473838,1.128449726102559,0.2520989125744379,0.28106355708183633,11.48939684491736,mse,550,550,550,1.6271551734479524,0.1042779103887741,0.02896464450739846,INCONCLUSIVE
ADA-USD,10,7,-1.2372286206488667,-1.2098227029976714,-1.2392392581305216,0.027405917651195377,0.011675465045138998,2.3473084408407052,0.2520989125744379,0.26534062931348407,5.252587805247377,mse,550,550,550,0.6533526885381368,0.5138024611854177,0.013241716739046191,INCONCLUSIVE
ADA-USD,10,42,-1.2372286206488667,-1.5066109954628182,-1.2392392581305216,-0.26938237481395144,0.00964675262982013,-27.92466907270268,0.2520989125744379,0.28019390606904904,11.144432638643558,mse,550,550,550,0.9963604845526253,0.31951396696765433,0.028094993494611135,INCONCLUSIVE
DOT-USD,1,0,-1.403802599849552,-1.2994244939034538,-1.7733777911581547,0.1043781059460982,0.003406243776439335,30.643169660395905,0.5732791808096139,0.6087770210438176,6.192068615516756,mse,595,595,595,1.8690238370331522,0.06211138719237019,0.03549784023420363,INCONCLUSIVE
DOT-USD,1,1,-1.403802599849552,-1.3797081436170011,-1.7733777911581547,0.02409445623255091,0.002332875774638369,10.328220857060387,0.5732791808096139,0.6346883330486296,10.711910408518682,mse,595,595,595,2.204333284084431,0.027883604251564442,0.06140915223901574,BEATEN BY baseline
DOT-USD,1,7,-1.403802599849552,-1.3553552612610036,-1.7733777911581547,0.04844733858854844,0.0020004506607384748,24.21821219557792,0.5732791808096139,0.6116216293531043,6.688268094672684,mse,595,595,595,1.7003298965266522,0.08959233938446509,0.038342448543490316,INCONCLUSIVE
DOT-USD,1,42,-1.403802599849552,-1.3596325657880648,-1.7733777911581547,0.04417003406148723,0.0024738548902357204,17.854739271824673,0.5732791808096139,0.6226079124250713,8.604661265701788,mse,595,595,595,2.0585405639841903,0.039973840493110036,0.049328731615457325,BEATEN BY baseline
DOT-USD,5,0,-2.1505186297897447,-2.2638914333190745,-1.6584628710611096,-0.11337280352932977,0.00475610207560912,-23.837336063652494,0.24600376874236526,0.2585717989243477,5.108877090067938,mse,575,575,575,0.8791014137636651,0.3797141526168728,0.012568030181982407,INCONCLUSIVE
DOT-USD,5,1,-2.1505186297897447,-2.2519141248727226,-1.6584628710611096,-0.10139549508297785,0.004923093885381276,-20.595888976252,0.24600376874236526,0.26744214378791353,8.714653094603703,mse,575,575,575,1.0539668984953736,0.29234151672284425,0.021438375045548293,INCONCLUSIVE
DOT-USD,5,7,-2.1505186297897447,-2.246961358767391,-1.6584628710611096,-0.09644272897764639,0.0026963394562427305,-35.768021995285594,0.24600376874236526,0.25752439687756223,4.683110423101806,mse,575,575,575,0.6471237458469694,0.5178105583579216,0.011520628135196942,INCONCLUSIVE
DOT-USD,5,42,-2.1505186297897447,-2.248161039060288,-1.6584628710611096,-0.09764240927054324,0.0047521263560458375,-20.54709869957873,0.24600376874236526,0.2695066184941812,9.55385759818583,mse,575,575,575,1.3123597976162253,0.18992329132843055,0.02350284975181594,INCONCLUSIVE
DOT-USD,10,0,-0.9134602941948704,-1.0122997422997357,-1.7664380956821457,-0.09883944810486534,0.0041242163776445216,-23.96563105675747,0.1954044720504991,0.2401434442216679,22.895572297652805,mse,550,550,550,1.6546097964902853,0.09857522310035405,0.04473897217116883,INCONCLUSIVE
DOT-USD,10,1,-0.9134602941948704,-0.9220710304289358,-1.7664380956821457,-0.008610736234065386,0.0029276042488588093,-2.941222754893146,0.1954044720504991,0.2271072015362855,16.22415759123125,mse,550,550,550,1.3984233688555545,0.1625505799363438,0.03170272948578641,INCONCLUSIVE
DOT-USD,10,7,-0.9134602941948704,-0.9819685769424337,-1.7664380956821457,-0.06850828274756326,0.003494985089889142,-19.601881262885815,0.1954044720504991,0.22290654948887334,14.07443604016738,mse,550,550,550,0.9733312837909087,0.3308173300985262,0.027502077438374243,INCONCLUSIVE
