family,instance_id,node_id,candidate,domain_size,domain_ratio,degree,degree_ratio,weighted_degree,activity,dom_wdeg,progress,neighbor_domain_min,neighbor_domain_mean,neighbor_domain_max,label
queens,queens-10,queens-10:6,q4,4.0,0.4,6.0,0.6666666666666666,21.0,7.0,0.19047619047619047,0.3,3.0,4.666666666666667,6.0,1
queens,queens-10,queens-10:6,q5,5.0,0.5,6.0,0.6666666666666666,26.0,4.0,0.19230769230769232,0.3,3.0,4.5,6.0,0
queens,queens-10,queens-10:6,q6,3.0,0.3,6.0,0.6666666666666666,11.0,9.0,0.2727272727272727,0.3,4.0,4.833333333333333,6.0,0
queens,queens-10,queens-10:6,q7,5.0,0.5,6.0,0.6666666666666666,11.0,8.0,0.45454545454545453,0.3,3.0,4.5,6.0,0
queens,queens-10,queens-10:6,q8,5.0,0.5,6.0,0.6666666666666666,11.0,9.0,0.45454545454545453,0.3,3.0,4.5,6.0,0
queens,queens-10,queens-10:6,q9,6.0,0.6,6.0,0.6666666666666666,11.0,9.0,0.5454545454545454,0.3,3.0,4.333333333333333,5.0,0
queens,queens-10,queens-10:7,q3,3.0,0.3,5.0,0.5555555555555556,8.0,10.0,0.375,0.4,2.0,3.2,4.0,0
queens,queens-10,queens-10:7,q5,4.0,0.4,5.0,0.5555555555555556,20.0,5.0,0.2,0.4,2.0,3.0,4.0,1
queens,queens-10,queens-10:7,q6,2.0,0.2,5.0,0.5555555555555556,8.0,10.0,0.25,0.4,3.0,3.4,4.0,0
queens,queens-10,queens-10:7,q7,3.0,0.3,5.0,0.5555555555555556,8.0,9.0,0.375,0.4,2.0,3.2,4.0,0
queens,queens-10,queens-10:7,q8,3.0,0.3,5.0,0.5555555555555556,8.0,10.0,0.375,0.4,2.0,3.2,4.0,0
queens,queens-10,queens-10:7,q9,4.0,0.4,5.0,0.5555555555555556,8.0,10.0,0.5,0.4,2.0,3.0,4.0,0
queens,queens-10,queens-10:8,q3,1.0,0.1,5.0,0.5555555555555556,12.0,15.0,0.08333333333333333,0.4,1.0,1.4,2.0,0
queens,queens-10,queens-10:8,q5,1.0,0.1,5.0,0.5555555555555556,40.0,6.0,0.025,0.4,1.0,1.4,2.0,1
queens,queens-10,queens-10:8,q6,1.0,0.1,5.0,0.5555555555555556,12.0,15.0,0.08333333333333333,0.4,1.0,1.4,2.0,0
queens,queens-10,queens-10:8,q7,1.0,0.1,5.0,0.5555555555555556,12.0,14.0,0.08333333333333333,0.4,1.0,1.4,2.0,0
queens,queens-10,queens-10:8,q8,2.0,0.2,5.0,0.5555555555555556,12.0,15.0,0.16666666666666666,0.4,1.0,1.2,2.0,0
queens,queens-10,queens-10:8,q9,2.0,0.2,5.0,0.5555555555555556,12.0,15.0,0.16666666666666666,0.4,1.0,1.2,2.0,0
queens,queens-10,queens-10:9,q3,1.0,0.1,4.0,0.4444444444444444,4.0,15.0,0.25,0.5,1.0,1.5,2.0,1
queens,queens-10,queens-10:9,q6,1.0,0.1,4.0,0.4444444444444444,4.0,15.0,0.25,0.5,1.0,1.5,2.0,0
queens,queens-10,queens-10:9,q7,1.0,0.1,4.0,0.4444444444444444,4.0,14.0,0.25,0.5,1.0,1.5,2.0,0
queens,queens-10,queens-10:9,q8,2.0,0.2,4.0,0.4444444444444444,4.0,15.0,0.5,0.5,1.0,1.25,2.0,0
queens,queens-10,queens-10:9,q9,2.0,0.2,4.0,0.4444444444444444,4.0,15.0,0.5,0.5,1.0,1.25,2.0,0
queens,queens-10,queens-10:10,q6,1.0,0.1,3.0,0.3333333333333333,3.0,15.0,0.3333333333333333,0.6,1.0,1.6666666666666667,2.0,1
queens,queens-10,queens-10:10,q7,1.0,0.1,3.0,0.3333333333333333,3.0,14.0,0.3333333333333333,0.6,1.0,1.6666666666666667,2.0,0
queens,queens-10,queens-10:10,q8,2.0,0.2,3.0,0.3333333333333333,3.0,15.0,0.6666666666666666,0.6,1.0,1.3333333333333333,2.0,0
queens,queens-10,queens-10:10,q9,2.0,0.2,3.0,0.3333333333333333,3.0,15.0,0.6666666666666666,0.6,1.0,1.3333333333333333,2.0,0
queens,queens-10,queens-10:11,q7,1.0,0.1,2.0,0.2222222222222222,2.0,14.0,0.5,0.7,2.0,2.0,2.0,1
queens,queens-10,queens-10:11,q8,2.0,0.2,2.0,0.2222222222222222,2.0,15.0,1.0,0.7,1.0,1.5,2.0,0
queens,queens-10,queens-10:11,q9,2.0,0.2,2.0,0.2222222222222222,2.0,15.0,1.0,0.7,1.0,1.5,2.0,0
queens,queens-10,queens-10:12,q8,2.0,0.2,1.0,0.1111111111111111,1.0,15.0,2.0,0.8,2.0,2.0,2.0,1
queens,queens-10,queens-10:12,q9,2.0,0.2,1.0,0.1111111111111111,1.0,15.0,2.0,0.8,2.0,2.0,2.0,0
queens,queens-11,queens-11:1,q0,11.0,1.0,10.0,1.0,10.0,0.0,1.1,0.0,11.0,11.0,11.0,1
