family,instance_id,heuristic,solved,valid,nodes,seconds,inference_seconds,split,model_seed
queens,queens-15,learned_policy,True,True,57,0.33124869999301154,0.2612700999598019,leave_queens_out,42
queens,queens-15,dom_wdeg,True,True,15,0.029233499997644685,0.0,leave_queens_out,42
queens,queens-16,learned_policy,True,True,464,1.8546638999978313,1.3156382997258333,leave_queens_out,42
queens,queens-16,dom_wdeg,True,True,16,0.062498500003130175,0.0,leave_queens_out,42
queens,queens-17,learned_policy,True,True,293,1.173841600000742,0.803817300038645,leave_queens_out,42
queens,queens-17,dom_wdeg,True,True,22,0.03733819999615662,0.0,leave_queens_out,42
queens,queens-18,learned_policy,True,True,1865,6.493786999999429,4.26221960048133,leave_queens_out,42
queens,queens-18,dom_wdeg,True,True,18,0.03778210000018589,0.0,leave_queens_out,42
queens,queens-19,learned_policy,True,True,761,2.955579499990563,1.9773841998394346,leave_queens_out,42
queens,queens-19,dom_wdeg,True,True,21,0.038576500010094605,0.0,leave_queens_out,42
queens,queens-8,learned_policy,True,True,11,0.03376389999175444,0.029044500028248876,leave_queens_out,71
queens,queens-8,dom_wdeg,True,True,10,0.004827400000067428,0.0,leave_queens_out,71
queens,queens-9,learned_policy,True,True,10,0.026501400003326125,0.022360000002663583,leave_queens_out,71
queens,queens-9,dom_wdeg,True,True,10,0.004786100005730987,0.0,leave_queens_out,71
queens,queens-10,learned_policy,True,True,12,0.03467970000929199,0.028674400004092604,leave_queens_out,71
queens,queens-10,dom_wdeg,True,True,13,0.008157900010701269,0.0,leave_queens_out,71
queens,queens-11,learned_policy,True,True,15,0.04559809999773279,0.036208899968187325,leave_queens_out,71
queens,queens-11,dom_wdeg,True,True,15,0.010847600002307445,0.0,leave_queens_out,71
queens,queens-12,learned_policy,True,True,16,0.048035699990577996,0.037224299943773076,leave_queens_out,71
queens,queens-12,dom_wdeg,True,True,12,0.008249299993622117,0.0,leave_queens_out,71
queens,queens-13,learned_policy,True,True,38,0.13135280000278726,0.09735300001921132,leave_queens_out,71
queens,queens-13,dom_wdeg,True,True,22,0.01971340000454802,0.0,leave_queens_out,71
queens,queens-14,learned_policy,True,True,22,0.07683059999544639,0.055678699965937994,leave_queens_out,71
queens,queens-14,dom_wdeg,True,True,20,0.02672349999193102,0.0,leave_queens_out,71
queens,queens-15,learned_policy,True,True,396,1.4377237999869976,1.0450459000567207,leave_queens_out,71
queens,queens-15,dom_wdeg,True,True,15,0.029233499997644685,0.0,leave_queens_out,71
queens,queens-16,learned_policy,True,True,70,0.2047108999977354,0.13404359995911364,leave_queens_out,71
queens,queens-16,dom_wdeg,True,True,16,0.062498500003130175,0.0,leave_queens_out,71
queens,queens-17,learned_policy,True,True,629,1.9863437000021804,1.3142234001279576,leave_queens_out,71
queens,queens-17,dom_wdeg,True,True,22,0.03733819999615662,0.0,leave_queens_out,71
queens,queens-18,learned_policy,True,True,155,0.4775394000025699,0.2890099000360351,leave_queens_out,71
queens,queens-18,dom_wdeg,True,True,18,0.03778210000018589,0.0,leave_queens_out,71
queens,queens-19,learned_policy,True,True,132,0.416800199993304,0.26979139998729806,leave_queens_out,71
queens,queens-19,dom_wdeg,True,True,21,0.038576500010094605,0.0,leave_queens_out,71
queens,queens-8,learned_policy,True,True,10,0.025033500001882203,0.020941099981428124,leave_queens_out,101
queens,queens-8,dom_wdeg,True,True,10,0.004827400000067428,0.0,leave_queens_out,101
queens,queens-9,learned_policy,True,True,10,0.025384799999301322,0.021410000044852495,leave_queens_out,101
queens,queens-9,dom_wdeg,True,True,10,0.004786100005730987,0.0,leave_queens_out,101
queens,queens-10,learned_policy,True,True,12,0.03262370001175441,0.02713309998216573,leave_queens_out,101
queens,queens-10,dom_wdeg,True,True,13,0.008157900010701269,0.0,leave_queens_out,101
queens,queens-11,learned_policy,True,True,15,0.06508419998863246,0.04941370002052281,leave_queens_out,101
queens,queens-11,dom_wdeg,True,True,15,0.010847600002307445,0.0,leave_queens_out,101
queens,queens-12,learned_policy,True,True,16,0.042802199997822754,0.03194379995693453,leave_queens_out,101
queens,queens-12,dom_wdeg,True,True,12,0.008249299993622117,0.0,leave_queens_out,101
queens,queens-13,learned_policy,True,True,38,0.10547459998633713,0.07392130000516772,leave_queens_out,101
queens,queens-13,dom_wdeg,True,True,22,0.01971340000454802,0.0,leave_queens_out,101
queens,queens-14,learned_policy,True,True,22,0.07788919999438804,0.058306099992478266,leave_queens_out,101
queens,queens-14,dom_wdeg,True,True,20,0.02672349999193102,0.0,leave_queens_out,101
queens,queens-15,learned_policy,True,True,396,1.2213703000015812,0.8469998999644304,leave_queens_out,101
queens,queens-15,dom_wdeg,True,True,15,0.029233499997644685,0.0,leave_queens_out,101
queens,queens-16,learned_policy,True,True,70,0.20698399998946115,0.13800060001085512,leave_queens_out,101
queens,queens-16,dom_wdeg,True,True,16,0.062498500003130175,0.0,leave_queens_out,101
queens,queens-17,learned_policy,True,True,641,2.2050735000084387,1.4964188000449212,leave_queens_out,101
queens,queens-17,dom_wdeg,True,True,22,0.03733819999615662,0.0,leave_queens_out,101
queens,queens-18,learned_policy,True,True,155,0.5740594000089914,0.3635989999747835,leave_queens_out,101
queens,queens-18,dom_wdeg,True,True,18,0.03778210000018589,0.0,leave_queens_out,101
queens,queens-19,learned_policy,True,True,145,0.5214759999944363,0.33105090001481585,leave_queens_out,101
queens,queens-19,dom_wdeg,True,True,21,0.038576500010094605,0.0,leave_queens_out,101
coloring,coloring-00,learned_policy,True,True,16,0.05765779998910148,0.054864600009750575,leave_coloring_out,11
coloring,coloring-00,mrv,True,True,16,0.0025206999998772517,0.0,leave_coloring_out,11
coloring,coloring-01,learned_policy,True,True,17,0.054134799996973015,0.05080449997331016,leave_coloring_out,11
coloring,coloring-01,mrv,True,True,17,0.0030854999931761995,0.0,leave_coloring_out,11
coloring,coloring-02,learned_policy,True,True,18,0.058518899997579865,0.05465610002283938,leave_coloring_out,11
coloring,coloring-02,mrv,True,True,18,0.003904199998942204,0.0,leave_coloring_out,11
coloring,coloring-03,learned_policy,True,True,19,0.0656621000089217,0.05957419997139368,leave_coloring_out,11
coloring,coloring-03,mrv,True,True,19,0.005270800000289455,0.0,leave_coloring_out,11
coloring,coloring-04,learned_policy,True,True,20,0.0942743000050541,0.08854189999692608,leave_coloring_out,11
coloring,coloring-04,mrv,True,True,20,0.004831400001421571,0.0,leave_coloring_out,11
coloring,coloring-05,learned_policy,True,True,21,0.07878229999914765,0.07230289999279194,leave_coloring_out,11
coloring,coloring-05,mrv,True,True,21,0.0054751999996369705,0.0,leave_coloring_out,11
coloring,coloring-06,learned_policy,True,True,22,0.06774800000130199,0.0622834000387229,leave_coloring_out,11
coloring,coloring-06,mrv,True,True,22,0.004738299991004169,0.0,leave_coloring_out,11
coloring,coloring-07,learned_policy,True,True,23,0.07584820000920445,0.0685457000072347,leave_coloring_out,11
coloring,coloring-07,mrv,True,True,23,0.007183099995017983,0.0,leave_coloring_out,11
coloring,coloring-08,learned_policy,True,True,24,0.08993620000546798,0.08211239996307995,leave_coloring_out,11
coloring,coloring-08,mrv,True,True,27,0.008589099990786053,0.0,leave_coloring_out,11
coloring,coloring-09,learned_policy,True,True,25,0.08372999999846797,0.07522190002782736,leave_coloring_out,11
coloring,coloring-09,mrv,True,True,25,0.01087790000019595,0.0,leave_coloring_out,11
coloring,coloring-10,learned_policy,True,True,28,0.09602199999790173,0.08674479997716844,leave_coloring_out,11
coloring,coloring-10,mrv,True,True,26,0.008948699993197806,0.0,leave_coloring_out,11
coloring,coloring-11,learned_policy,True,True,27,0.12768920000235084,0.11718339995422866,leave_coloring_out,11
coloring,coloring-11,mrv,True,True,27,0.033777399992686696,0.0,leave_coloring_out,11
coloring,coloring-00,learned_policy,True,True,16,0.059790700004668906,0.056948500001453795,leave_coloring_out,23
coloring,coloring-00,mrv,True,True,16,0.0025206999998772517,0.0,leave_coloring_out,23
coloring,coloring-01,learned_policy,True,True,17,0.06692750001093373,0.06310599998687394,leave_coloring_out,23
coloring,coloring-01,mrv,True,True,17,0.0030854999931761995,0.0,leave_coloring_out,23
coloring,coloring-02,learned_policy,True,True,18,0.07304639999347273,0.06866409997746814,leave_coloring_out,23
coloring,coloring-02,mrv,True,True,18,0.003904199998942204,0.0,leave_coloring_out,23
coloring,coloring-03,learned_policy,True,True,19,0.07759159999841359,0.07101989998773206,leave_coloring_out,23
coloring,coloring-03,mrv,True,True,19,0.005270800000289455,0.0,leave_coloring_out,23
coloring,coloring-04,learned_policy,True,True,20,0.06849970000621397,0.06267230000230484,leave_coloring_out,23
coloring,coloring-04,mrv,True,True,20,0.004831400001421571,0.0,leave_coloring_out,23
coloring,coloring-05,learned_policy,True,True,21,0.11114770000858698,0.10402400000020862,leave_coloring_out,23
coloring,coloring-05,mrv,True,True,21,0.0054751999996369705,0.0,leave_coloring_out,23
coloring,coloring-06,learned_policy,True,True,22,0.0852656999923056,0.07963080005720258,leave_coloring_out,23
coloring,coloring-06,mrv,True,True,22,0.004738299991004169,0.0,leave_coloring_out,23
coloring,coloring-07,learned_policy,True,True,23,0.08340399998996872,0.07526009999855887,leave_coloring_out,23
coloring,coloring-07,mrv,True,True,23,0.007183099995017983,0.0,leave_coloring_out,23
coloring,coloring-08,learned_policy,True,True,24,0.08469889999832958,0.07705209995037876,leave_coloring_out,23
coloring,coloring-08,mrv,True,True,27,0.008589099990786053,0.0,leave_coloring_out,23
coloring,coloring-09,learned_policy,True,True,25,0.09370009999838658,0.0844828000117559,leave_coloring_out,23
coloring,coloring-09,mrv,True,True,25,0.01087790000019595,0.0,leave_coloring_out,23
coloring,coloring-10,learned_policy,True,True,28,0.1100841000006767,0.09999079993576743,leave_coloring_out,23
coloring,coloring-10,mrv,True,True,26,0.008948699993197806,0.0,leave_coloring_out,23
coloring,coloring-11,learned_policy,True,True,27,0.1062889000022551,0.09543600004690234,leave_coloring_out,23
coloring,coloring-11,mrv,True,True,27,0.033777399992686696,0.0,leave_coloring_out,23
coloring,coloring-00,learned_policy,True,True,16,0.30674569999973755,0.3036628000118071,leave_coloring_out,42
coloring,coloring-00,mrv,True,True,16,0.0025206999998772517,0.0,leave_coloring_out,42
coloring,coloring-01,learned_policy,True,True,17,0.08658250000735279,0.08214499999303371,leave_coloring_out,42
coloring,coloring-01,mrv,True,True,17,0.0030854999931761995,0.0,leave_coloring_out,42
coloring,coloring-02,learned_policy,True,True,18,0.08025320000888314,0.07551850001618732,leave_coloring_out,42
coloring,coloring-02,mrv,True,True,18,0.003904199998942204,0.0,leave_coloring_out,42
coloring,coloring-03,learned_policy,True,True,19,0.09256720000121277,0.08545199998479802,leave_coloring_out,42
coloring,coloring-03,mrv,True,True,19,0.005270800000289455,0.0,leave_coloring_out,42
